siren,statutDiffusionUniteLegale,dateCreationUniteLegale,denominationUniteLegale,categorieEntreprise,trancheEffectifsUniteLegale,activitePrincipaleUniteLegale,economieSocialeSolidaireUniteLegale
402096267,Unité diffusible,1995-08-08,"['EIFFAGE ROUTE NORD EST', 'EIFFAGE TRAVAUX PUBLICS NORD EST', 'EIFFAGE TRAVAUX PUBLICS NORD', 'EIFFAGE TRAVAUX PUBLICS NORD PAS DE CALAIS', 'APPIA HAINAUT', 'SNC BEUGNET HAINAUT']",GE,1 000 à 1 999 salariés,['Construction de routes et autoroutes'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
380129866,Unité diffusible,1991-01-01,"['ORANGE', 'FRANCE TELECOM']",GE,10 000 salariés et plus,['Télécommunications filaires'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
428559967,Unité diffusible,1999-12-07,"['COURIR FRANCE', 'GO SPORT DIVERSIFICATION']",ETI,2 000 à 4 999 salariés,"['Commerce de détail de la chaussure', ""Commerce de détail d'articles de sport en magasin spécialisé""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
479182750,Unité diffusible,2004-10-25,"['PEOPLE AND BABY', 'PEOPLE AND BABY VELIZY']",ETI,2 000 à 4 999 salariés,['Accueil de jeunes enfants'],"[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
501877039,Unité diffusible,2007-12-12,"['SEETRAL', 'S.C.I ANTIBES MARINE CHANTIER']",,,"[""Location de terrains et d'autres biens immobiliers""]",[]
490219912,Unité diffusible,2006-05-01,"['EQUALIA', 'HEPHAISTOS']",ETI,50 à 99 salariés,"['Autres activités récréatives et de loisirs', ""Gestion d'installations sportives""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
838838464,Unité diffusible,2018-04-11,['ECO M HYDRO'],PME,,"[""Production d'électricité""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
779221639,Unité diffusible,1900-01-01,['SYNDICAT CGT MICHELIN'],PME,1 ou 2 salariés,['Activités des syndicats de salariés'],[]
732014964,Unité diffusible,1973-01-01,"['FONCIER CONSEIL - SOCIETE EN NOM COLLECTIF', 'FONCIER CONSEIL SNC', 'FONCIER CONSEIL SOC EN NOM COLLECTIF']",GE,100 à 199 salariés,"[""Construction d'autres ouvrages de génie civil n.c.a."", ""Promotion immobilière d'autres bâtiments""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
339609661,Unité diffusible,1986-10-01,"['IDVERDE', 'ISS ESPACES VERTS', 'CIE GENERALE D ESPACES VERTS']",ETI,2 000 à 4 999 salariés,"[""Services d'aménagement paysager ""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
329417760,Unité diffusible,1984-01-05,"['ATELIERS 115 ARCHITECTES', 'ATELIER 2 M', 'SCPA MONTAUT DANIEL MAWAS ANDRE', 'MONTAUT DANIEL MAWAS ANDRE']",PME,20 à 49 salariés,"[""Activités d'architecture ""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
330964693,Unité diffusible,1984-10-09,"['AT3E SAS', 'AT3E AERAUL THERM ETUDE ECONO ENERGIE', 'AT3E AERAUL THERM ETUDE ECONO']",PME,6 à 9 salariés,"['Ingénierie, études techniques']",[]
692049208,Unité diffusible,1900-01-01,"['B 27 - CODIBAT', 'CODIBAT DEVELOPPEMENT', 'COORDINATION DISTRIBUTION BATIMENT']",PME,20 à 49 salariés,"['Ingénierie, études techniques']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
402682991,Unité diffusible,1995-10-01,['GAGNERAUD CONSTRUCTION'],ETI,500 à 999 salariés,"[""Construction d'autres ouvrages de génie civil n.c.a."", ""Construction d'autres bâtiments"", 'Construction de maisons individuelles']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
389643859,Unité diffusible,1993-01-01,"['CITELUM', 'LUXOPOLE']",GE,500 à 999 salariés,"[""Travaux d'installation électrique dans tous locaux"", ""Travaux d'installation électrique sur la voie publique""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
971201546,Unité diffusible,1971-01-01,"['SATELEC', 'TRAVAUX ELECTRIQUES PUBLICS INDUSTRIELS']",GE,1 000 à 1 999 salariés,"[""Travaux d'installation électrique dans tous locaux"", ""Travaux d'installation électrique sur la voie publique""]","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
489626135,Unité diffusible,2006-01-01,['INGEROP CONSEIL ET INGENIERIE (ICI)'],ETI,1 000 à 1 999 salariés,"['Ingénierie, études techniques']","[""l'entreprise n'appartient pas au champ de l'économie sociale et solidaire""]"
